Level1,Level2,Level3,Level4,Level5,Count
MUREXFO,FO,FOD EUROPE,Contract Id,7378217,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378219,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378221,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378223,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378225,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378227,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378229,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378231,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378233,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378235,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378237,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378239,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378241,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378243,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378245,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378247,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378249,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378251,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378253,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378255,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378257,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378259,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378261,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378263,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378265,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378267,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378269,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378271,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378273,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378275,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378277,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378279,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378281,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378283,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378285,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378287,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378289,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378291,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378293,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378295,1
