Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330465,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330464,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330463,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330462,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330461,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330460,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330459,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330458,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330457,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330456,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330455,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330454,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330453,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330452,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330451,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330450,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330449,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330448,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330447,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330446,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330445,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330444,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330443,RABOBANK,RABOBANK
